,BusId,RouteAccess,BusStops,Capacity,Speed,Direction,Source,Destination,Zone
20,21,106-R,"['106 -R-00', '106 -R-01', '106 -R-02', '106 -R-03', '106 -R-04', '106 -R-05', '106 -R-06', '106 -R-07', '106 -R-08', '106 -R-09', '106 -R-10', '106 -R-11', '106 -R-12', '106 -R-13', '106 -R-14', '106 -R-15', '106 -R-16', '106 -R-17', '106 -R-18', '106 -R-19', '106 -R-20', '106 -R-21', '106 -R-22', '106 -R-23', '106 -R-24', '106 -R-25', '106 -R-26', '106 -R-27', '106 -R-28', '106 -R-29', '106 -R-30', '106 -R-31', '106 -R-32', '106 -R-33', '106 -R-34', '106 -R-35', '106 -R-36', '106 -R-37', '106 -R-38', '106 -R-39', '106 -R-40', '106 -R-41', '106 -R-42', '106 -R-43', '106 -R-44', '106 -R-45', '106 -R-46', '106 -R-47', '106 -R-48', '106 -R-49', '106 -R-50']",50,80,Right,106 -R-00,106 -R-50,Zone 4
21,22,107-D,"['107-D-00', '107-D-01', '107-D-02', '107-D-03', '107-D-04', '107-D-05', '107-D-06', '107-D-07', '107-D-08', '107-D-09', '107-D-10', '107-D-11', '107-D-12', '107-D-13', '107-D-14', '107-D-15', '107-D-16', '107-D-17', '107-D-18', '107-D-19', '107-D-20', '107-D-21', '107-D-22', '107-D-23', '107-D-24', '107-D-25', '107-D-26', '107-D-27', '107-D-28', '107-D-29', '107-D-30', '107-D-31', '107-D-32', '107-D-33', '107-D-34']",50,80,Down,107-D-00,107-D-34,Zone 4
22,23,107-U,"['107-U-00', '107-U-01', '107-U-02', '107-U-03', '107-U-04', '107-U-05', '107-U-06', '107-U-07', '107-U-08', '107-U-09', '107-U-10', '107-U-11', '107-U-12', '107-U-13', '107-U-14', '107-U-15', '107-U-16', '107-U-17', '107-U-18', '107-U-19', '107-U-20', '107-U-21', '107-U-22', '107-U-23', '107-U-24', '107-U-25', '107-U-26', '107-U-27', '107-U-28', '107-U-29', '107-U-30', '107-U-31', '107-U-32', '107-U-33', '107-U-34', '107-U-35', '107-U-36', '107-U-37']",50,80,Up,107-U-00,107-U-37,Zone 4
23,24,108-D,"['108-D-00', '108-D-01', '108-D-02', '108-D-03', '108-D-04', '108-D-05', '108-D-06', '108-D-07', '108-D-08', '108-D-09', '108-D-10', '108-D-11', '108-D-12', '108-D-13', '108-D-14', '108-D-15', '108-D-16', '108-D-17', '108-D-18', '108-D-19', '108-D-20', '108-D-21', '108-D-22', '108-D-23', '108-D-24', '108-D-25', '108-D-26']",50,80,Down,108-D-00,108-D-26,Zone 4
24,25,108-U,"['108-U-00', '108-U-01', '108-U-02', '108-U-03', '108-U-04', '108-U-05', '108-U-06', '108-U-07', '108-U-08', '108-U-09', '108-U-10', '108-U-11', '108-U-12', '108-U-13', '108-U-14', '108-U-15', '108-U-16', '108-U-17', '108-U-18', '108-U-19', '108-U-20', '108-U-21', '108-U-22', '108-U-23', '108-U-24']",50,80,Up,108-U-00,108-U-24,Zone 4
25,26,109-R,"['109-R-00', '109-R-01', '109-R-02', '109-R-03', '109-R-04', '109-R-05', '109-R-06', '109-R-07', '109-R-08', '109-R-09', '109-R-10', '109-R-11', '109-R-12', '109-R-13', '109-R-14', '109-R-15', '109-R-16', '109-R-17', '109-R-18', '109-R-19', '109-R-20', '109-R-21', '109-R-22', '109-R-23', '109-R-24', '109-R-25', '109-R-26', '109-R-27', '109-R-28', '109-R-29', '109-R-30', '109-R-31', '109-R-32', '109-R-33', '109-R-34', '109-R-35', '109-R-36', '109-R-37', '109-R-38', '109-R-39', '109-R-40', '109-R-41', '109-R-42', '109-R-43', '109-R-44', '109-R-45', '109-R-46', '109-R-47', '109-R-48']",50,80,Right,109-R-00,109-R-48,Zone 4
26,27,11-D,"['11-D-00', '11-D-01', '11-D-02', '11-D-03', '11-D-04', '11-D-05', '11-D-06', '11-D-07', '11-D-08', '11-D-09', '11-D-10', '11-D-11', '11-D-12', '11-D-13', '11-D-14', '11-D-15', '11-D-16', '11-D-17', '11-D-18', '11-D-19', '11-D-20', '11-D-21', '11-D-22', '11-D-23', '11-D-24', '11-D-25', '11-D-26', '11-D-27', '11-D-28', '11-D-29', '11-D-30', '11-D-31', '11-D-32', '11-D-33', '11-D-34', '11-D-35', '11-D-36', '11-D-37', '11-D-38']",50,80,Down,11-D-00,11-D-38,Zone 4
27,28,11-U,"['11-U-00', '11-U-01', '11-U-02', '11-U-03', '11-U-04', '11-U-05', '11-U-06', '11-U-07', '11-U-08', '11-U-09', '11-U-10', '11-U-11', '11-U-12', '11-U-13', '11-U-14', '11-U-15', '11-U-16', '11-U-17', '11-U-18', '11-U-19', '11-U-20', '11-U-21', '11-U-22', '11-U-23', '11-U-24', '11-U-25', '11-U-26', '11-U-27', '11-U-28', '11-U-29', '11-U-30', '11-U-31', '11-U-32', '11-U-33', '11-U-34', '11-U-35', '11-U-36', '11-U-37', '11-U-38']",50,80,Up,11-U-00,11-U-38,Zone 4
28,29,110-R,"['110-R-00', '110-R-01', '110-R-02', '110-R-03', '110-R-04', '110-R-05', '110-R-06', '110-R-07', '110-R-08', '110-R-09', '110-R-10', '110-R-11', '110-R-12', '110-R-13', '110-R-14', '110-R-15', '110-R-16', '110-R-17', '110-R-18', '110-R-19', '110-R-20', '110-R-21', '110-R-22', '110-R-23', '110-R-24', '110-R-25', '110-R-26', '110-R-27', '110-R-28', '110-R-29', '110-R-30', '110-R-31', '110-R-32', '110-R-33', '110-R-34', '110-R-35', '110-R-36', '110-R-37', '110-R-38', '110-R-39', '110-R-40', '110-R-41', '110-R-42', '110-R-43', '110-R-44', '110-R-45', '110-R-46', '110-R-47']",50,80,Right,110-R-00,110-R-47,Zone 4
29,30,111-D,"['111-D-00', '111-D-01', '111-D-02', '111-D-03', '111-D-04', '111-D-05', '111-D-06', '111-D-07', '111-D-08', '111-D-09', '111-D-10', '111-D-11', '111-D-12', '111-D-13', '111-D-14', '111-D-15', '111-D-16', '111-D-17', '111-D-18', '111-D-19', '111-D-20', '111-D-21', '111-D-22', '111-D-23', '111-D-24', '111-D-25', '111-D-26', '111-D-27', '111-D-28', '111-D-29', '111-D-30', '111-D-31']",50,80,Down,111-D-00,111-D-31,Zone 4
