ID,Direction,StopName,StopCode,Latitude,Longitude,Status,StopType,Routes,Zone
5594,UP,charholigaon,331D-U-00,18.65366333,73.90781667,Inactive,Secondary,"['331D-U', '252A-U']",Zone 3
5595,UP,dabhadevasti charholi,331D-U-01,18.65764,73.89804,Active,Primary,"['331D-U', '252A-U']",Zone 3
5596,UP,tapkir bungalow,331D-U-02,18.6599,73.89492,Inactive,Secondary,['331D-U'],Zone 3
5597,UP,charholi phata,331D-U-03,18.66143,73.88666,Active,Primary,"['344B-U', '252A-U', '361-U', '331D-U', '119A-U']",Zone 3
5598,UP,chovisawadi,331D-U-04,18.65711,73.88569,Active,Primary,"['344B-U', '252A-U', '361-U', '331D-U', '119A-U']",Zone 3
5599,UP,vadmukhwadi,331D-U-05,18.65392,73.88411,Inactive,Secondary,"['344B-U', '252A-U', '361-U', '331D-U', '119A-U']",Zone 3
5600,UP,gokhalemala,331D-U-06,18.65086,73.88234,Inactive,Secondary,"['344B-U', '252A-U', '361-U', '331D-U', '119A-U']",Zone 3
5601,UP,nirma company,331D-U-07,18.64621,73.88061,Inactive,Secondary,"['344B-U', '252A-U', '361-U', '331D-U', '119A-U']",Zone 3
5602,UP,sai mandir,331D-U-08,18.64163,73.87747,Active,Primary,"['344B-U', '252A-U', '361-U', '331D-U', '119A-U']",Zone 3
5603,UP,moze vidyalay alandi road,331D-U-09,18.63887833,73.87540333,Inactive,Secondary,"['344B-U', '252A-U', '361-U', '331D-U', '119A-U']",Zone 3
5604,UP,magzine,331D-U-10,18.63370308,73.87490869,Active,Primary,"['344B-U', '252A-U', '361-U', '331D-U', '119A-U']",Zone 3
5605,UP,gajanan maharaj mandir alandi road,331D-U-11,18.63193,73.87278,Active,Primary,"['361-U', '331D-U', '344B-U']",Zone 3
5606,UP,banacha odha,331D-U-12,18.6270044,73.8646168,Active,Primary,"['361-U', '331D-U', '344B-U']",Zone 3
5607,UP,shastri chowk,331D-U-13,18.62455667,73.858855,Active,Primary,"['361-U', '331D-U', '344B-U']",Zone 3
5608,UP,maharashtra chowk,331D-U-14,18.62418667,73.856205,Active,Primary,"['361-U', '331D-U', '344B-U']",Zone 3
5609,UP,gavhanevasti bhosari,331D-U-15,18.620493,73.849265,Active,Primary,"['344B-U', '367B-U', '304A-U', '362B-U', '331D-U', '367-U', '302C-U', '302-U', '304-U']",Zone 4
5610,UP,agnishamak kendra landewadi,331D-U-16,18.61997667,73.84541333,Active,Primary,"['344B-U', '367B-U', '304A-U', '362B-U', '331D-U', '367-U', '302C-U', '302-U', '304-U']",Zone 4
5611,UP,landewadi,331D-U-17,18.619723,73.841691,Inactive,Secondary,"['344B-U', '367B-U', '304A-U', '362B-U', '331D-U', '367-U', '302C-U', '302-U', '304-U']",Zone 4
5612,UP,philips,331D-U-18,18.62098,73.83776,Inactive,Secondary,"['344B-U', '362B-U', '331D-U', '302C-U', '302-U']",Zone 4
5613,UP,tulsi chemicals,331D-U-19,18.62786167,73.832055,Active,Primary,"['302-U', '331D-U', '362B-U', '302C-U']",Zone 4
5614,UP,jayanand khira,331D-U-20,18.62998667,73.83009667,Active,Primary,"['302-U', '331D-U', '362B-U', '302C-U']",Zone 4
5615,UP,abhi chemical,331D-U-21,18.63178,73.82853,Active,Primary,"['302-U', '331D-U', '362B-U', '302C-U']",Zone 4
5616,UP,c prabhag karyalay,331D-U-22,18.63211,73.82679,Inactive,Secondary,"['302-U', '331D-U', '362B-U', '302C-U']",Zone 4
5617,UP,nehrunagar depot,331D-U-23,18.63082,73.82511,Active,Primary,"['344B-U', '376D-U', '310A-U', '304A-U', '335B-U', '331C-U', '331D-U', '302C-U', '323C-U', '323B-U', '302D-U']",Zone 4
5618,DOWN,dange chowk,335B-D-00,18.6158767,73.7657101,Inactive,Secondary,"['335B-D', '306-D', '335A-D', '355-D']",Zone 4
5619,DOWN,thergaon phata,335B-D-01,18.6172661,73.7672363,Inactive,Secondary,"['335B-D', '355-D']",Zone 4
